DELHI
KOLKATA,IAC,AI 713,A319,1246,1305,1520,1
KOLKATA,IAC,AI 711,A319,357,1410,1520,
INDORE
DELHI,IAC,AI 635,A320,Daily,0750,0920,
MUMBAI,IAC,AI 636,A320,Daily,2005,2130,
JAIPUR
DELHI,IAC,AI 611,A319,Daily,1705,1810,
MUMBAI,IAC,AI 612,A319,Daily,1740,1930,
JAMMU
DELHI,IAC,AI 822,A320,Daily,1545,1700,
LEH,IAC,AI 450,A319,15,940,1040,
SRINAGAR,IAC,AI 821,A320,Daily,1300,1345,
SRINAGAR,IAC,AI 3821,A320,2457,1340,1420,
JAMNAGAR
MUMBAI,IAC,AI 648,A319,Daily,1245,1355,
JODHPUR
DELHI,IAC,AI 476,A319,Daily,1415,1515,
MUMBAI,IAC,AI 475,A319,Daily,1245,1430,
KHAJURAHO
DELHI,IAC,AI 405,A320,136,1520,1805,1
VARANASI,IAC,AI 405,A320,136,1520,1615,
KOLKATA
AGARTALA,IAC,AI 743,A319,Daily,0950,1055,
AGARTALA,IAC,AI 3243,A319,123456,1600,1655,
AIZAWAL,IAC,AI 713,A319,1246,1120,1345,1
AIZAWAL,IAC,AI 711,A319,357,1120,1220,
AIZAWAL,IAC,AI 3209,A319,6,1315,1420,
BAGDOGRA,IAC,AI 721,A319,24,1315,1420,
BAGDOGRA,IAC,AI 721,A319,37,1330,1430,
BANGALORE,IAC,AI 771,A319,Daily,1810,2040,
CHENNAI,IAC,AI 765,A320,Daily,1805,2040,
DELHI,IAC,AI 763,A321,Daily,0645,0910,
DELHI,IAC,AI 701,B787,Daily,1730,1950,
DIBRUGARH,IAC,AI 709,A320,37,1005,1240,1
DIBRUGARH,IAC,AI 705,A320,246,1005,1140,
DIMAPUR,IAC,AI 709,A320,37,1005,1125,
DIMAPUR,IAC,AI 705,A320,246,1005,1255,1
GUWAHATI,IAC,AI 729,A319,Daily,0955,1100,
HYDERABAD,IAC,AI 618,A319,Daily,1320,1535,
IMPHAL,IAC,AI 3215,A319,6,545,0700,
IMPHAL,IAC,AI 3217,A319,12345,545,0700,
IMPHAL,IAC,AI 711,A319,357,1120,1335,1
IMPHAL,IAC,AI 713,A319,1246,1120,1230,
MUMBAI,IAC,AI 676,A319,Daily,0610,0850,
MUMBAI,IAC,AI 618,A319,Daily,1320,1750,1
MUMBAI,IAC,AI 775,A319,123467,1645,1935,
MUMBAI,IAC,AI 773,A319,Daily,1940,2235,
PORT BLAIR,IAC,AI 787,A319,Daily,0550,0755,
SILCHAR,IAC,AI 3253,A319,7,545,0650,
SILCHAR,IAC,AI 753,A319,137,1315,1425,
SILCHAR,IAC,AI 753,A319,5,1330,1435,
LEH
DELHI,IAC,AI 3450,A319,246,745,0905,
DELHI,IAC,AI 3450,A319,1,810,0925,
DELHI,IAC,AI 446,A319,7,810,0915,
DELHI,IAC,AI 446,A319,246,815,0935,
DELHI,IAC,AI 446,A319,135,1115,1235,
DELHI,IAC,AI 3826,A319,6,1150,1305,
DELHI,IAC,AI 3450,A319,7,1150,1305,
JAMMU,IAC,AI 449,A319,15,810,0905,
SRINAGAR,IAC,AI 448,A319,3,810,0905,
LUCKNOW
DELHI,IAC,AI 412,A321,Daily,0840,0940,
DELHI,IAC,AI 432,A321,1357,1400,1515,
DELHI,IAC,AI 812,A321,Daily,1820,1925,
MUMBAI,IAC,AI 626,A320,Daily,1330,1545,
MADURAI
CHENNAI,IAC,AI 672,A319,13457,1400,1500,
CHENNAI,IAC,AI 672,A319,26,1520,1630,
MUMBAI,IAC,AI 672,A319,13457,1400,1735,1
MUMBAI,IAC,AI 672,A319,26,1520,1920,1
MANGALORE
MUMBAI,IAC,AI 680,A321,Daily,1300,1420,
MUMBAI
AHMEDABAD,IAC,AI 643,A320,Daily,1745,1905,
AURANGABAD,IAC,AI 442,A319,Daily,1435,1530,
BANGALORE,IAC,AI 603,A319,Daily,0615,0745,
BANGALORE,IAC,AI 639,A319,Daily,0915,1050,
BANGALORE,IAC,AI 607,A319,Daily,1630,1815,
BANGALORE,IAC,AI 609,A319,Daily,2035,2225,
BHOPAL,IAC,AI 633,A321,Daily,1600,1725,
BHUBANESHWAR,IAC,AI 669,A319,Daily,1025,1235,
CALICUT,IAC,AI 657,A321,Daily,1000,1305,1
CHANDIGARH,IAC,AI 864,A321,Daily,0700,1045,1
CHENNAI,IAC,AI 570,A319,Daily,0700,0900,
CHENNAI,IAC,AI 671,A319,Daily,0940,1140,
CHENNAI,IAC,AI 572,A319,Daily,1705,1905,
COCHIN,IAC,AI 681,A319,Daily,1700,1910,
COIMBATORE,IAC,AI 657,A321,Daily,1000,1150,
DELHI,IAC,AI 601,A321,Daily,0600,0800,
DELHI,IAC,AI 635,A320,Daily,0600,920,1
DELHI,IAC,AI 864,A321,Daily,0700,0905,
DELHI,IAC,AI 806,A321,Daily,0800,1010,
DELHI,IAC,AI 866,A321,Daily,0900,1115,
DELHI,IAC,AI 472,A319,Daily,0900,1220,1
DELHI,IAC,AI 809,A321,Daily,1000,1210,
DELHI,IAC,AI 476,A319,Daily,1200,1515,1
DELHI,IAC,AI 677,A321,Daily,1300,1505,
DELHI,IAC,AI 442,A319,Daily,1435,1745,1
DELHI,IAC,AI 611,A319,Daily,1440,1810,1
DELHI,IAC,AI 633,A321,Daily,1600,1915,1
DELHI,IAC,AI 660,A321,Daily,1700,1905,
DELHI,IAC,AI 658,A321,Daily,1800,2010,
DELHI,IAC,AI 888,A321,Daily,1900,2105,
DELHI,IAC,AI 605,A321,Daily,2100,2310,
DELHI,IAC,AI 623,A321,Daily,2300,0100,
GOA,IAC,AI 865,A321,Daily,1300,1410,
GOA,IAC,AI 661,A321,Daily,1515,1630,
GOA,IAC,AI 659,A321,Daily,2010,2130,
HYDERABAD,IAC,AI 615,A319,Daily,0615,0730,
HYDERABAD,IAC,AI 617,A319,Daily,0830,0955,
HYDERABAD,IAC,AI 619,A319,Daily,1845,2010,
INDORE,IAC,AI 635,A320,Daily,0600,0715,
JAIPUR,IAC,AI 611,A319,Daily,1440,1630,
